# Date: 2013-7-18
# Start Time: 13:0:34.18
# dB Attenuation: -1.780000e+001
# Sample rate: 44100
#
sid,condition,block_index,date,time,trialnum,signal_interval,response_interval,signal,standard,trialdur
"1611","4th",2.000000,"2013-07-18","13:0:42.571",1.000000,1.000000,1.000000,25.000000,65.000000,3.923979
"1611","4th",2.000000,"2013-07-18","13:0:46.571",2.000000,1.000000,2.000000,29.000000,7.000000,6.032209
"1611","4th",2.000000,"2013-07-18","13:0:52.633",3.000000,1.000000,1.000000,24.000000,63.000000,3.875780
"1611","4th",2.000000,"2013-07-18","13:0:56.555",4.000000,2.000000,2.000000,32.000000,48.000000,3.707705
"1611","4th",2.000000,"2013-07-18","13:1:0.305",5.000000,1.000000,1.000000,34.000000,13.000000,3.916001
"1611","4th",2.000000,"2013-07-18","13:1:4.242",6.000000,2.000000,2.000000,22.000000,61.000000,3.901622
"1611","4th",2.000000,"2013-07-18","13:1:8.180",7.000000,2.000000,2.000000,33.000000,63.000000,3.718912
"1611","4th",2.000000,"2013-07-18","13:1:11.930",8.000000,2.000000,1.000000,34.000000,71.000000,6.450243
"1611","4th",2.000000,"2013-07-18","13:1:18.414",9.000000,2.000000,2.000000,26.000000,3.000000,5.984989
"1611","4th",2.000000,"2013-07-18","13:1:24.430",10.000000,1.000000,2.000000,36.000000,10.000000,4.949874
"1611","4th",2.000000,"2013-07-18","13:1:29.414",11.000000,1.000000,1.000000,25.000000,59.000000,4.468315
"1611","4th",2.000000,"2013-07-18","13:1:33.914",12.000000,1.000000,1.000000,29.000000,65.000000,4.500434
"1611","4th",2.000000,"2013-07-18","13:1:38.446",13.000000,2.000000,2.000000,37.000000,11.000000,3.718759
"1611","4th",2.000000,"2013-07-18","13:1:42.196",14.000000,1.000000,1.000000,32.000000,56.000000,6.934591
"1611","4th",2.000000,"2013-07-18","13:1:49.164",15.000000,2.000000,2.000000,34.000000,6.000000,3.735171
"1611","4th",2.000000,"2013-07-18","13:1:52.930",16.000000,1.000000,1.000000,33.000000,58.000000,3.967502
"1611","4th",2.000000,"2013-07-18","13:1:56.930",17.000000,2.000000,2.000000,25.000000,51.000000,3.718999
"1611","4th",2.000000,"2013-07-18","13:2:0.680",18.000000,2.000000,2.000000,28.000000,53.000000,3.883474
"1611","4th",2.000000,"2013-07-18","13:2:4.602",19.000000,1.000000,1.000000,21.000000,49.000000,3.800983
"1611","4th",2.000000,"2013-07-18","13:2:8.430",20.000000,1.000000,2.000000,38.000000,40.000000,3.784245
"1611","4th",2.000000,"2013-07-18","13:2:12.242",21.000000,2.000000,1.000000,28.000000,48.000000,3.769245
"1611","4th",2.000000,"2013-07-18","13:2:16.055",22.000000,1.000000,2.000000,26.000000,16.000000,3.716032
"1611","4th",2.000000,"2013-07-18","13:2:19.805",23.000000,2.000000,2.000000,21.000000,59.000000,3.897337
"1611","4th",2.000000,"2013-07-18","13:2:23.727",24.000000,1.000000,1.000000,30.000000,60.000000,3.817637
"1611","4th",2.000000,"2013-07-18","13:2:27.586",25.000000,2.000000,2.000000,32.000000,4.000000,3.797828
"1611","4th",2.000000,"2013-07-18","13:2:31.414",26.000000,1.000000,2.000000,25.000000,19.000000,4.301048
"1611","4th",2.000000,"2013-07-18","13:2:35.742",27.000000,1.000000,1.000000,35.000000,43.000000,5.518428
"1611","4th",2.000000,"2013-07-18","13:2:41.289",28.000000,2.000000,2.000000,22.000000,12.000000,5.167358
"1611","4th",2.000000,"2013-07-18","13:2:46.492",29.000000,2.000000,2.000000,31.000000,47.000000,4.417496
"1611","4th",2.000000,"2013-07-18","13:2:50.946",30.000000,2.000000,1.000000,33.000000,51.000000,4.584350
