,regimen,sid,condition,meanpre,mean
0,AP,1611,4th,0.691666666667,0.833333333333
1,AP,1611,4th_gen,0.691666666667,0.85
2,AP,1612,4th,0.733333333333,0.916666666667
3,AP,1612,4th_gen,0.733333333333,0.933333333333
4,AP,1613,4th,0.591666666667,0.983333333333
5,AP,1613,4th_gen,0.591666666667,0.975
6,AP,1614,4th,0.741666666667,0.983333333333
7,AP,1614,4th_gen,0.741666666667,0.975
8,AP,1625,4th,0.516666666667,0.825
9,AP,1625,4th_gen,0.516666666667,0.866666666667
10,AP,1627,4th,0.6,0.783333333333
11,AP,1627,4th_gen,0.6,0.733333333333
12,AP,1641,4th,0.533333333333,0.775
13,AP,1641,4th_gen,0.533333333333,0.775
14,LA,1621,4th,0.55,0.658333333333
15,LA,1621,4th_gen,0.55,0.65
16,LA,1652,4th,0.508333333333,0.541666666667
17,LA,1652,4th_gen,0.508333333333,0.483333333333
18,LA,1672,4th,0.766666666667,0.95
19,LA,1672,4th_gen,0.766666666667,0.883333333333
20,LA,1674,4th,0.483333333333,0.491666666667
21,LA,1674,4th_gen,0.483333333333,0.541666666667
22,LA,1684,4th,0.6,0.883333333333
23,LA,1684,4th_gen,0.6,0.883333333333
24,LA,1790,4th,0.525,0.625
25,LA,1790,4th_gen,0.525,0.475
26,LA,1794,4th,0.533333333333,0.8
27,LA,1794,4th_gen,0.533333333333,0.858333333333
28,P,1618,4th,0.594444444444,0.508333333333
29,P,1618,4th_gen,0.594444444444,0.641666666667
30,P,1619,4th,0.666666666667,0.675
31,P,1619,4th_gen,0.666666666667,0.616666666667
32,P,1620,4th,0.533333333333,0.75
33,P,1620,4th_gen,0.533333333333,0.725
34,P,1665,4th,0.588888888889,0.85
35,P,1665,4th_gen,0.588888888889,0.833333333333
36,P,1666,4th,0.555555555556,0.625
37,P,1666,4th_gen,0.555555555556,0.566666666667
38,P,1670,4th,0.622222222222,0.791666666667
39,P,1670,4th_gen,0.622222222222,0.875
40,P,1671,4th,0.622222222222,0.825
41,P,1671,4th_gen,0.622222222222,0.75
42,SA,1615,4th,0.516666666667,0.625
43,SA,1615,4th_gen,0.516666666667,0.583333333333
44,SA,1616,4th,0.575,0.558333333333
45,SA,1616,4th_gen,0.575,0.6
46,SA,1617,4th,0.575,0.641666666667
47,SA,1617,4th_gen,0.575,0.666666666667
48,SA,1622,4th,0.675,0.9
49,SA,1622,4th_gen,0.675,0.9
50,SA,1653,4th,0.575,0.783333333333
51,SA,1653,4th_gen,0.575,0.833333333333
52,SA,1658,4th,0.741666666667,0.858333333333
53,SA,1658,4th_gen,0.741666666667,0.825
54,SA,1804,4th,0.55,0.675
55,SA,1804,4th_gen,0.55,0.675
