,posttest,stimulus_label,mean,SE,error,lower,upper,p_value
0,0.4,3rd,0.128,0.037,0.001,0.085,0.156,0.0
1,0.4,4th,0.186,0.051,0.001,0.13,0.227,0.0
2,0.4,5th,0.321,0.069,0.001,0.245,0.383,0.0
3,0.4,6th,0.142,0.043,0.001,0.094,0.175,0.0
4,0.4122448979591837,3rd,0.134,0.038,0.001,0.091,0.162,0.0
5,0.4122448979591837,4th,0.195,0.051,0.001,0.139,0.237,0.0
6,0.4122448979591837,5th,0.322,0.067,0.001,0.249,0.383,0.0
7,0.4122448979591837,6th,0.147,0.042,0.001,0.098,0.18,0.0
8,0.4244897959183674,3rd,0.139,0.038,0.001,0.096,0.168,0.0
9,0.4244897959183674,4th,0.205,0.052,0.001,0.147,0.247,0.0
10,0.4244897959183674,5th,0.323,0.065,0.001,0.253,0.383,0.0
11,0.4244897959183674,6th,0.152,0.042,0.001,0.103,0.185,0.0
12,0.43673469387755104,3rd,0.145,0.038,0.001,0.102,0.174,0.0
13,0.43673469387755104,4th,0.216,0.052,0.001,0.159,0.259,0.0
14,0.43673469387755104,5th,0.324,0.064,0.001,0.254,0.381,0.0
15,0.43673469387755104,6th,0.157,0.042,0.001,0.11,0.192,0.0
16,0.4489795918367347,3rd,0.151,0.038,0.001,0.108,0.181,0.0
17,0.4489795918367347,4th,0.226,0.052,0.001,0.169,0.27,0.0
18,0.4489795918367347,5th,0.326,0.062,0.001,0.257,0.38,0.0
19,0.4489795918367347,6th,0.162,0.042,0.001,0.114,0.195,0.0
20,0.4612244897959184,3rd,0.158,0.038,0.001,0.115,0.188,0.0
21,0.4612244897959184,4th,0.237,0.052,0.001,0.18,0.281,0.0
22,0.4612244897959184,5th,0.327,0.06,0.001,0.259,0.379,0.0
23,0.4612244897959184,6th,0.167,0.042,0.001,0.121,0.202,0.0
24,0.47346938775510206,3rd,0.164,0.038,0.001,0.122,0.196,0.0
25,0.47346938775510206,4th,0.249,0.052,0.001,0.192,0.293,0.0
26,0.47346938775510206,5th,0.328,0.058,0.001,0.26,0.375,0.0
27,0.47346938775510206,6th,0.173,0.041,0.001,0.124,0.204,0.0
28,0.48571428571428577,3rd,0.171,0.038,0.001,0.129,0.203,0.0
29,0.48571428571428577,4th,0.261,0.052,0.001,0.204,0.305,0.0
30,0.48571428571428577,5th,0.33,0.056,0.001,0.265,0.376,0.0
31,0.48571428571428577,6th,0.178,0.041,0.001,0.129,0.21,0.0
32,0.4979591836734694,3rd,0.178,0.038,0.001,0.138,0.211,0.0
33,0.4979591836734694,4th,0.273,0.051,0.001,0.216,0.317,0.0
34,0.4979591836734694,5th,0.331,0.054,0.001,0.269,0.377,0.0
35,0.4979591836734694,6th,0.184,0.04,0.001,0.138,0.218,0.0
36,0.5102040816326531,3rd,0.185,0.038,0.001,0.145,0.219,0.0
37,0.5102040816326531,4th,0.286,0.051,0.001,0.229,0.329,0.0
38,0.5102040816326531,5th,0.332,0.053,0.001,0.283,0.388,0.0
39,0.5102040816326531,6th,0.19,0.04,0.001,0.145,0.224,0.0
40,0.5224489795918368,3rd,0.193,0.037,0.001,0.154,0.227,0.0
41,0.5224489795918368,4th,0.299,0.05,0.001,0.242,0.341,0.0
42,0.5224489795918368,5th,0.334,0.051,0.001,0.285,0.385,0.0
43,0.5224489795918368,6th,0.196,0.039,0.001,0.154,0.232,0.0
44,0.5346938775510204,3rd,0.201,0.037,0.001,0.161,0.234,0.0
45,0.5346938775510204,4th,0.312,0.05,0.001,0.257,0.355,0.0
46,0.5346938775510204,5th,0.335,0.049,0.001,0.286,0.383,0.0
47,0.5346938775510204,6th,0.203,0.039,0.001,0.16,0.236,0.0
48,0.5469387755102041,3rd,0.209,0.037,0.001,0.168,0.241,0.0
49,0.5469387755102041,4th,0.326,0.049,0.001,0.279,0.376,0.0
50,0.5469387755102041,5th,0.337,0.047,0.001,0.29,0.383,0.0
51,0.5469387755102041,6th,0.209,0.038,0.001,0.171,0.247,0.0
52,0.5591836734693878,3rd,0.217,0.036,0.001,0.178,0.249,0.0
53,0.5591836734693878,4th,0.34,0.048,0.001,0.288,0.383,0.0
54,0.5591836734693878,5th,0.338,0.045,0.001,0.296,0.386,0.0
55,0.5591836734693878,6th,0.216,0.038,0.001,0.178,0.253,0.0
