,regimen,mean,SE,error,lower,upper,p_value
0,AP,0.562,0.04,0.001,0.522,0.601,0.0
1,LA,0.339,0.037,0.001,0.304,0.375,0.0
2,P,0.36,0.038,0.001,0.322,0.396,0.0
3,SA,0.418,0.04,0.001,0.383,0.46,0.0
