,trained,mean,SE,error,lower,upper,p_value
0,0.4,0.34,0.04,0.001,0.298,0.376,0.0
1,0.4122448979591837,0.355,0.04,0.001,0.317,0.395,0.0
2,0.4244897959183674,0.37,0.039,0.001,0.328,0.404,0.0
3,0.43673469387755104,0.385,0.038,0.001,0.345,0.42,0.0
4,0.4489795918367347,0.4,0.037,0.001,0.362,0.435,0.0
5,0.4612244897959184,0.416,0.037,0.001,0.379,0.45,0.0
6,0.47346938775510206,0.432,0.036,0.001,0.396,0.465,0.0
7,0.48571428571428577,0.448,0.034,0.001,0.413,0.48,0.0
8,0.4979591836734694,0.464,0.033,0.001,0.431,0.496,0.0
9,0.5102040816326531,0.48,0.032,0.001,0.449,0.511,0.0
10,0.5224489795918368,0.497,0.031,0.0,0.467,0.527,0.0
11,0.5346938775510204,0.513,0.03,0.0,0.483,0.54,0.0
12,0.5469387755102041,0.529,0.028,0.0,0.501,0.556,0.0
13,0.5591836734693878,0.545,0.027,0.0,0.518,0.571,0.0
14,0.5714285714285714,0.562,0.026,0.0,0.537,0.586,0.0
15,0.5836734693877551,0.578,0.024,0.0,0.554,0.601,0.0
16,0.5959183673469388,0.593,0.023,0.0,0.568,0.613,0.0
17,0.6081632653061224,0.609,0.022,0.0,0.587,0.629,0.0
18,0.6204081632653061,0.625,0.02,0.0,0.605,0.644,0.0
19,0.6326530612244898,0.64,0.019,0.0,0.619,0.657,0.0
20,0.6448979591836734,0.655,0.018,0.0,0.635,0.671,0.0
21,0.6571428571428571,0.669,0.017,0.0,0.651,0.685,0.0
22,0.6693877551020408,0.684,0.016,0.0,0.667,0.699,0.0
23,0.6816326530612244,0.698,0.015,0.0,0.682,0.713,0.0
24,0.6938775510204082,0.711,0.015,0.0,0.697,0.727,0.0
25,0.7061224489795919,0.725,0.014,0.0,0.712,0.74,0.0
26,0.7183673469387755,0.738,0.014,0.0,0.727,0.754,0.0
27,0.7306122448979592,0.75,0.013,0.0,0.739,0.765,0.0
28,0.7428571428571429,0.762,0.013,0.0,0.751,0.777,0.0
29,0.7551020408163265,0.774,0.013,0.0,0.763,0.789,0.0
30,0.7673469387755102,0.785,0.013,0.0,0.774,0.8,0.0
31,0.7795918367346939,0.796,0.013,0.0,0.784,0.809,0.0
32,0.7918367346938775,0.806,0.013,0.0,0.795,0.82,0.0
33,0.8040816326530612,0.816,0.013,0.0,0.806,0.83,0.0
34,0.8163265306122449,0.826,0.013,0.0,0.813,0.838,0.0
35,0.8285714285714285,0.835,0.013,0.0,0.823,0.848,0.0
36,0.8408163265306122,0.844,0.013,0.0,0.833,0.858,0.0
37,0.8530612244897959,0.852,0.013,0.0,0.841,0.865,0.0
38,0.8653061224489795,0.86,0.013,0.0,0.849,0.873,0.0
39,0.8775510204081632,0.868,0.013,0.0,0.858,0.882,0.0
40,0.889795918367347,0.875,0.013,0.0,0.864,0.889,0.0
41,0.9020408163265307,0.882,0.013,0.0,0.871,0.895,0.0
42,0.9142857142857143,0.889,0.012,0.0,0.878,0.902,0.0
43,0.926530612244898,0.895,0.012,0.0,0.885,0.909,0.0
44,0.9387755102040817,0.901,0.012,0.0,0.892,0.915,0.0
45,0.9510204081632653,0.906,0.012,0.0,0.898,0.921,0.0
46,0.963265306122449,0.912,0.012,0.0,0.903,0.925,0.0
47,0.9755102040816327,0.917,0.012,0.0,0.908,0.93,0.0
48,0.9877551020408163,0.922,0.012,0.0,0.913,0.934,0.0
49,1.0,0.926,0.011,0.0,0.918,0.939,0.0
