"","sid","condition","block_index","date","time","trialnum","stimulus_label","response_label","stimulus","trialdur","regimen","day","correct"
"55","1611","label",2,"2013-07-19","15:54:21.694",25,2,2,25,3.185456,"AP",4,TRUE
"56","1611","label",2,"2013-07-19","15:54:24.913",26,1,1,6,3.980497,"AP",4,TRUE
"57","1611","label",2,"2013-07-19","15:54:28.913",27,4,4,59,3.068097,"AP",4,TRUE
"58","1611","label",2,"2013-07-19","15:54:32.022",28,3,4,45,3.233375,"AP",4,FALSE
"59","1611","label",2,"2013-07-19","15:54:35.288",29,3,4,53,2.918374,"AP",4,FALSE
"60","1611","label",2,"2013-07-19","15:54:38.241",30,3,4,44,3.501145,"AP",4,FALSE
"61","1611","label",3,"2013-07-19","15:54:52.976",1,4,4,63,6.600153,"AP",4,TRUE
"62","1611","label",3,"2013-07-19","15:54:59.632",2,3,4,48,2.799783,"AP",4,FALSE
"63","1611","label",3,"2013-07-19","15:55:2.476",3,2,1,37,4.878948,"AP",4,FALSE
"64","1611","label",3,"2013-07-19","15:55:7.397",4,4,3,59,3.361767,"AP",4,FALSE
"65","1611","label",3,"2013-07-19","15:55:10.788",5,2,1,28,6.53361,"AP",4,FALSE
"66","1611","label",3,"2013-07-19","15:55:17.351",6,2,2,22,4.418966,"AP",4,TRUE
"67","1611","label",3,"2013-07-19","15:55:21.804",7,2,2,29,3.737509,"AP",4,TRUE
"68","1611","label",3,"2013-07-19","15:55:25.569",8,1,3,15,3.649086,"AP",4,FALSE
"69","1611","label",3,"2013-07-19","15:55:29.257",9,3,3,41,2.900183,"AP",4,TRUE
"70","1611","label",3,"2013-07-19","15:55:32.194",10,1,1,13,2.834833,"AP",4,TRUE
"71","1611","label",3,"2013-07-19","15:55:35.054",11,3,3,45,4.829459,"AP",4,TRUE
"72","1611","label",3,"2013-07-19","15:55:39.929",12,3,4,50,4.083508,"AP",4,FALSE
"73","1611","label",3,"2013-07-19","15:55:44.038",13,2,2,23,2.48257,"AP",4,TRUE
"74","1611","label",3,"2013-07-19","15:55:46.554",14,3,3,47,3.084959,"AP",4,TRUE
"75","1611","label",3,"2013-07-19","15:55:49.663",15,4,1,57,3.337422,"AP",4,FALSE
"76","1611","label",3,"2013-07-19","15:55:53.038",16,3,4,43,2.530311,"AP",4,FALSE
"77","1611","label",3,"2013-07-19","15:55:55.601",17,4,4,61,2.434854,"AP",4,TRUE
"78","1611","label",3,"2013-07-19","15:55:58.069",18,3,3,49,2.747447,"AP",4,TRUE
"79","1611","label",3,"2013-07-19","15:56:0.851",19,1,1,5,4.053338,"AP",4,TRUE
"80","1611","label",3,"2013-07-19","15:56:4.944",20,1,1,8,3.384333,"AP",4,TRUE
"81","1611","label",3,"2013-07-19","15:56:8.351",21,4,4,68,2.734403,"AP",4,TRUE
"82","1611","label",3,"2013-07-19","15:56:11.116",22,4,3,62,4.217939,"AP",4,FALSE
"83","1611","label",3,"2013-07-19","15:56:15.366",23,2,2,22,2.534705,"AP",4,TRUE
"84","1611","label",3,"2013-07-19","15:56:17.929",24,1,3,8,2.601968,"AP",4,FALSE
"85","1611","label",3,"2013-07-19","15:56:20.569",25,1,3,11,2.667711,"AP",4,FALSE
"86","1611","label",3,"2013-07-19","15:56:23.288",26,1,4,17,5.019013,"AP",4,FALSE
"87","1611","label",3,"2013-07-19","15:56:28.335",27,4,3,61,3.152106,"AP",4,FALSE
"88","1611","label",3,"2013-07-19","15:56:31.522",28,3,1,53,3.468394,"AP",4,FALSE
"89","1611","label",3,"2013-07-19","15:56:35.022",29,1,1,11,3.269816,"AP",4,TRUE
"90","1611","label",3,"2013-07-19","15:56:38.319",30,2,2,22,3.116695,"AP",4,TRUE
"91","1611","label",4,"2013-07-19","15:56:54.444",1,4,3,61,6.199815,"AP",4,FALSE
"92","1611","label",4,"2013-07-19","15:57:0.710",2,2,3,30,5.743596,"AP",4,FALSE
"93","1611","label",4,"2013-07-19","15:57:6.491",3,4,4,67,2.724142,"AP",4,TRUE
"94","1611","label",4,"2013-07-19","15:57:9.272",4,2,3,36,2.822809,"AP",4,FALSE
"95","1611","label",4,"2013-07-19","15:57:12.132",5,3,2,45,4.045901,"AP",4,FALSE
"96","1611","label",4,"2013-07-19","15:57:16.210",6,3,2,44,2.617074,"AP",4,FALSE
"97","1611","label",4,"2013-07-19","15:57:18.851",7,4,4,62,2.666016,"AP",4,TRUE
"98","1611","label",4,"2013-07-19","15:57:21.554",8,1,2,14,2.933177,"AP",4,FALSE
"99","1611","label",4,"2013-07-19","15:57:24.522",9,1,2,18,2.802497,"AP",4,FALSE
"100","1611","label",4,"2013-07-19","15:57:27.366",10,1,1,15,3.058377,"AP",4,TRUE
"101","1611","label",4,"2013-07-19","15:57:30.444",11,4,4,70,3.386213,"AP",4,TRUE
"102","1611","label",4,"2013-07-19","15:57:33.866",12,3,4,54,2.635665,"AP",4,FALSE
"103","1611","label",4,"2013-07-19","15:57:36.538",13,2,2,24,2.966848,"AP",4,TRUE
"104","1611","label",4,"2013-07-19","15:57:39.538",14,2,1,37,2.434196,"AP",4,FALSE
