,posttest,mean,SE,error,lower,upper,p_value
0,0.4,0.191,0.036,0.001,0.154,0.223,0.0
1,0.4122448979591837,0.197,0.036,0.001,0.16,0.229,0.0
2,0.4244897959183674,0.203,0.036,0.001,0.166,0.234,0.0
3,0.43673469387755104,0.209,0.035,0.001,0.171,0.239,0.0
4,0.4489795918367347,0.216,0.035,0.001,0.178,0.246,0.0
5,0.4612244897959184,0.222,0.035,0.001,0.186,0.252,0.0
6,0.47346938775510206,0.229,0.034,0.001,0.194,0.26,0.0
7,0.48571428571428577,0.236,0.034,0.001,0.201,0.266,0.0
8,0.4979591836734694,0.242,0.033,0.001,0.213,0.277,0.0
9,0.5102040816326531,0.25,0.033,0.001,0.216,0.279,0.0
10,0.5224489795918368,0.257,0.032,0.001,0.222,0.284,0.0
11,0.5346938775510204,0.264,0.031,0.0,0.231,0.292,0.0
12,0.5469387755102041,0.272,0.031,0.0,0.244,0.304,0.0
13,0.5591836734693878,0.279,0.03,0.0,0.253,0.311,0.0
14,0.5714285714285714,0.287,0.029,0.0,0.26,0.317,0.0
15,0.5836734693877551,0.295,0.029,0.0,0.268,0.324,0.0
16,0.5959183673469388,0.303,0.028,0.0,0.276,0.33,0.0
17,0.6081632653061224,0.311,0.027,0.0,0.286,0.338,0.0
18,0.6204081632653061,0.319,0.026,0.0,0.295,0.346,0.0
19,0.6326530612244898,0.328,0.026,0.0,0.303,0.352,0.0
20,0.6448979591836734,0.336,0.025,0.0,0.313,0.361,0.0
21,0.6571428571428571,0.345,0.024,0.0,0.323,0.369,0.0
22,0.6693877551020408,0.354,0.023,0.0,0.335,0.38,0.0
23,0.6816326530612244,0.363,0.023,0.0,0.34,0.384,0.0
24,0.6938775510204082,0.372,0.022,0.0,0.348,0.391,0.0
25,0.7061224489795919,0.381,0.021,0.0,0.358,0.4,0.0
26,0.7183673469387755,0.39,0.021,0.0,0.369,0.409,0.0
27,0.7306122448979592,0.399,0.021,0.0,0.377,0.417,0.0
28,0.7428571428571429,0.408,0.02,0.0,0.386,0.426,0.0
29,0.7551020408163265,0.418,0.02,0.0,0.398,0.438,0.0
30,0.7673469387755102,0.427,0.02,0.0,0.408,0.447,0.0
31,0.7795918367346939,0.437,0.02,0.0,0.418,0.458,0.0
32,0.7918367346938775,0.446,0.021,0.0,0.427,0.467,0.0
33,0.8040816326530612,0.456,0.021,0.0,0.437,0.478,0.0
34,0.8163265306122449,0.466,0.022,0.0,0.445,0.488,0.0
35,0.8285714285714285,0.475,0.022,0.0,0.454,0.498,0.0
36,0.8408163265306122,0.485,0.023,0.0,0.461,0.506,0.0
37,0.8530612244897959,0.495,0.024,0.0,0.471,0.517,0.0
38,0.8653061224489795,0.504,0.025,0.0,0.479,0.527,0.0
39,0.8775510204081632,0.514,0.026,0.0,0.488,0.538,0.0
40,0.889795918367347,0.524,0.027,0.0,0.498,0.551,0.0
41,0.9020408163265307,0.533,0.028,0.0,0.504,0.56,0.0
42,0.9142857142857143,0.543,0.029,0.0,0.513,0.571,0.0
43,0.926530612244898,0.552,0.031,0.0,0.525,0.585,0.0
44,0.9387755102040817,0.562,0.032,0.001,0.532,0.594,0.0
45,0.9510204081632653,0.571,0.033,0.001,0.541,0.605,0.0
46,0.963265306122449,0.581,0.034,0.001,0.547,0.613,0.0
47,0.9755102040816327,0.59,0.035,0.001,0.554,0.623,0.0
48,0.9877551020408163,0.599,0.037,0.001,0.564,0.636,0.0
49,1.0,0.609,0.038,0.001,0.573,0.646,0.0
