,regimen,sid,pretest,posttest,stimulus_label,sum,len,mean
0,AP,1611,0.6916666666666703,0.8333333333333334,3rd,13.0,32,0.40625
1,AP,1611,0.6916666666666703,0.8333333333333334,4th,17.0,30,0.5666666666666667
2,AP,1611,0.6916666666666703,0.8333333333333334,5th,9.0,29,0.3103448275862069
3,AP,1611,0.6916666666666703,0.8333333333333334,6th,14.0,29,0.4827586206896552
4,AP,1612,0.7333333333333396,0.9166666666666666,3rd,17.0,31,0.5483870967741935
5,AP,1612,0.7333333333333396,0.9166666666666666,4th,25.0,29,0.8620689655172413
6,AP,1612,0.7333333333333396,0.9166666666666666,5th,15.0,30,0.5
7,AP,1612,0.7333333333333396,0.9166666666666666,6th,14.0,30,0.4666666666666667
8,AP,1613,0.5916666666666547,0.9833333333333334,3rd,19.0,31,0.6129032258064516
9,AP,1613,0.5916666666666547,0.9833333333333334,4th,28.0,29,0.9655172413793104
10,AP,1613,0.5916666666666547,0.9833333333333334,5th,9.0,30,0.3
11,AP,1613,0.5916666666666547,0.9833333333333334,6th,9.0,30,0.3
12,AP,1614,0.7416666666666719,0.9833333333333334,3rd,28.0,31,0.9032258064516129
13,AP,1614,0.7416666666666719,0.9833333333333334,4th,26.0,29,0.896551724137931
14,AP,1614,0.7416666666666719,0.9833333333333334,5th,22.0,30,0.7333333333333333
15,AP,1614,0.7416666666666719,0.9833333333333334,6th,28.0,30,0.9333333333333333
16,AP,1625,0.5166666666666642,0.8249999999999998,3rd,17.0,32,0.53125
17,AP,1625,0.5166666666666642,0.8249999999999998,4th,18.0,30,0.6
18,AP,1625,0.5166666666666642,0.8249999999999998,5th,14.0,28,0.5
19,AP,1625,0.5166666666666642,0.8249999999999998,6th,5.0,30,0.16666666666666666
20,AP,1627,0.6000000000000091,0.7833333333333333,3rd,17.0,32,0.53125
21,AP,1627,0.6000000000000091,0.7833333333333333,4th,21.0,30,0.7
22,AP,1627,0.6000000000000091,0.7833333333333333,5th,13.0,28,0.4642857142857143
23,AP,1627,0.6000000000000091,0.7833333333333333,6th,17.0,30,0.5666666666666667
24,AP,1641,0.5333333333333424,0.775,3rd,15.0,32,0.46875
25,AP,1641,0.5333333333333424,0.775,4th,19.0,30,0.6333333333333333
26,AP,1641,0.5333333333333424,0.775,5th,9.0,28,0.32142857142857145
27,AP,1641,0.5333333333333424,0.775,6th,6.0,30,0.2
28,LA,1621,0.5499999999999906,0.6583333333333333,3rd,8.0,30,0.26666666666666666
29,LA,1621,0.5499999999999906,0.6583333333333333,4th,15.0,29,0.5172413793103449
30,LA,1621,0.5499999999999906,0.6583333333333333,5th,9.0,30,0.3
31,LA,1621,0.5499999999999906,0.6583333333333333,6th,10.0,31,0.3225806451612903
32,LA,1652,0.5083333333333264,0.5416666666666666,3rd,7.0,27,0.25925925925925924
33,LA,1652,0.5083333333333264,0.5416666666666666,4th,10.0,31,0.3225806451612903
34,LA,1652,0.5083333333333264,0.5416666666666666,5th,9.0,31,0.2903225806451613
35,LA,1652,0.5083333333333264,0.5416666666666666,6th,3.0,31,0.0967741935483871
36,LA,1672,0.7666666666666567,0.9499999999999998,3rd,16.0,31,0.5161290322580645
37,LA,1672,0.7666666666666567,0.9499999999999998,4th,24.0,30,0.8
38,LA,1672,0.7666666666666567,0.9499999999999998,5th,9.0,31,0.2903225806451613
39,LA,1672,0.7666666666666567,0.9499999999999998,6th,14.0,28,0.5
40,LA,1674,0.4833333333333403,0.4916666666666667,3rd,5.0,32,0.15625
41,LA,1674,0.4833333333333403,0.4916666666666667,4th,13.0,30,0.43333333333333335
42,LA,1674,0.4833333333333403,0.4916666666666667,5th,8.0,28,0.2857142857142857
43,LA,1674,0.4833333333333403,0.4916666666666667,6th,7.0,30,0.23333333333333334
44,LA,1684,0.6000000000000141,0.8833333333333333,3rd,13.0,30,0.43333333333333335
45,LA,1684,0.6000000000000141,0.8833333333333333,4th,19.0,31,0.6129032258064516
46,LA,1684,0.6000000000000141,0.8833333333333333,5th,7.0,28,0.25
47,LA,1684,0.6000000000000141,0.8833333333333333,6th,8.0,31,0.25806451612903225
48,LA,1790,0.5249999999999867,0.625,3rd,6.0,31,0.1935483870967742
49,LA,1790,0.5249999999999867,0.625,4th,11.0,30,0.36666666666666664
50,LA,1790,0.5249999999999867,0.625,5th,10.0,30,0.3333333333333333
51,LA,1790,0.5249999999999867,0.625,6th,3.0,29,0.10344827586206896
52,LA,1794,0.5333333333333327,0.7999999999999999,3rd,8.0,32,0.25
53,LA,1794,0.5333333333333327,0.7999999999999999,4th,16.0,30,0.5333333333333333
54,LA,1794,0.5333333333333327,0.7999999999999999,5th,7.0,28,0.25
55,LA,1794,0.5333333333333327,0.7999999999999999,6th,8.0,30,0.26666666666666666
56,P,1618,0.5944444444444372,0.5083333333333333,3rd,6.0,31,0.1935483870967742
57,P,1618,0.5944444444444372,0.5083333333333333,4th,16.0,30,0.5333333333333333
58,P,1618,0.5944444444444372,0.5083333333333333,5th,12.0,30,0.4
59,P,1618,0.5944444444444372,0.5083333333333333,6th,6.0,29,0.20689655172413793
60,P,1619,0.6666666666666702,0.6750000000000002,3rd,8.0,30,0.26666666666666666
61,P,1619,0.6666666666666702,0.6750000000000002,4th,10.0,29,0.3448275862068966
62,P,1619,0.6666666666666702,0.6750000000000002,5th,9.0,30,0.3
63,P,1619,0.6666666666666702,0.6750000000000002,6th,6.0,31,0.1935483870967742
64,P,1620,0.5333333333333437,0.75,3rd,10.0,29,0.3448275862068966
65,P,1620,0.5333333333333437,0.75,4th,3.0,29,0.10344827586206896
