,regimen,sid,meanpre,trained,untrained
0,AP,1611,0.691666666667,0.833333333333,0.85
1,AP,1612,0.733333333333,0.916666666667,0.933333333333
2,AP,1613,0.591666666667,0.983333333333,0.975
3,AP,1614,0.741666666667,0.983333333333,0.975
4,AP,1625,0.516666666667,0.825,0.866666666667
5,AP,1627,0.6,0.783333333333,0.733333333333
6,AP,1641,0.533333333333,0.775,0.775
7,LA,1621,0.55,0.658333333333,0.65
8,LA,1652,0.508333333333,0.541666666667,0.483333333333
9,LA,1672,0.766666666667,0.95,0.883333333333
10,LA,1674,0.483333333333,0.491666666667,0.541666666667
11,LA,1684,0.6,0.883333333333,0.883333333333
12,LA,1790,0.525,0.625,0.475
13,LA,1794,0.533333333333,0.8,0.858333333333
14,P,1618,0.594444444444,0.508333333333,0.641666666667
15,P,1619,0.666666666667,0.675,0.616666666667
16,P,1620,0.533333333333,0.75,0.725
17,P,1665,0.588888888889,0.85,0.833333333333
18,P,1666,0.555555555556,0.625,0.566666666667
19,P,1670,0.622222222222,0.791666666667,0.875
20,P,1671,0.622222222222,0.825,0.75
21,SA,1615,0.516666666667,0.625,0.583333333333
22,SA,1616,0.575,0.558333333333,0.6
23,SA,1617,0.575,0.641666666667,0.666666666667
24,SA,1622,0.675,0.9,0.9
25,SA,1653,0.575,0.783333333333,0.833333333333
26,SA,1658,0.741666666667,0.858333333333,0.825
27,SA,1804,0.55,0.675,0.675
