regimen,sid,experience,day,pretest,correct,total,meanpre
AP,1611,7.0,3,2.075,166.0,240,2.075
AP,1612,8.0,3,2.2,180.0,240,2.2
AP,1613,6.0,3,1.775,175.0,240,1.775
AP,1614,5.0,3,2.225,186.0,240,2.225
AP,1625,0.0,3,1.55,129.0,240,1.55
AP,1627,4.0,3,1.8,145.0,240,1.8
AP,1641,0.0,3,1.6,101.0,180,1.6
LA,1621,15.0,3,1.65,257.0,420,1.65
LA,1652,3.0,3,1.525,215.0,420,1.525
LA,1672,4.0,3,2.3,366.0,420,2.3
LA,1674,0.0,3,1.45,211.0,420,1.45
LA,1684,4.0,3,1.8,229.0,360,1.8
LA,1790,0.0,3,1.575,226.0,420,1.575
LA,1794,2.0,3,1.6,248.0,420,1.6
P,1618,0.0,3,1.78333333333,74.0,120,1.78333333333
P,1619,2.0,3,2.0,84.0,120,2.0
P,1620,6.0,3,1.6,65.0,120,1.6
P,1665,3.0,3,1.76666666667,75.0,120,1.76666666667
P,1666,8.0,3,1.66666666667,68.0,120,1.66666666667
P,1670,3.0,3,1.86666666667,81.0,120,1.86666666667
P,1671,3.0,3,1.86666666667,80.0,120,1.86666666667
SA,1615,0.0,3,1.55,143.0,240,1.55
SA,1616,1.0,3,1.725,138.0,240,1.725
SA,1617,7.0,3,1.725,152.0,240,1.725
SA,1622,3.0,3,2.025,171.0,240,2.025
SA,1653,4.0,3,1.725,146.0,240,1.725
SA,1658,8.0,3,2.225,189.0,240,2.225
SA,1804,1.0,3,1.65,143.0,240,1.65
