,index,mean,SE,error,lower,upper,p_value,sig,experience
132,9.949748743718592,77.311,4.779,0.107,73.885,82.946,0.0,***,9.949748743718592
133,10.025125628140703,77.435,4.791,0.107,74.003,83.12,0.0,***,10.025125628140703
134,10.100502512562812,77.559,4.804,0.107,74.143,83.277,0.0,***,10.100502512562812
135,10.175879396984923,77.682,4.817,0.108,74.379,83.537,0.0,***,10.175879396984923
136,10.251256281407034,77.804,4.829,0.108,74.441,83.63,0.0,***,10.251256281407034
137,10.326633165829145,77.926,4.842,0.108,74.597,83.815,0.0,***,10.326633165829145
138,10.402010050251256,78.048,4.854,0.109,73.998,83.229,0.0,***,10.402010050251256
139,10.477386934673365,78.168,4.867,0.109,74.115,83.348,0.0,***,10.477386934673365
140,10.552763819095476,78.289,4.879,0.109,74.221,83.482,0.0,***,10.552763819095476
141,10.628140703517587,78.408,4.891,0.109,74.312,83.596,0.0,***,10.628140703517587
142,10.703517587939697,78.527,4.903,0.11,74.401,83.698,0.0,***,10.703517587939697
143,10.778894472361808,78.646,4.916,0.11,74.565,83.891,0.0,***,10.778894472361808
144,10.854271356783919,78.764,4.928,0.11,74.675,84.023,0.0,***,10.854271356783919
145,10.92964824120603,78.881,4.939,0.11,75.45,84.793,0.0,***,10.92964824120603
146,11.00502512562814,78.998,4.951,0.111,75.539,84.925,0.0,***,11.00502512562814
147,11.08040201005025,79.114,4.963,0.111,74.88,84.278,0.0,***,11.08040201005025
148,11.15577889447236,79.229,4.975,0.111,75.016,84.423,0.0,***,11.15577889447236
149,11.231155778894472,79.344,4.986,0.112,74.996,84.42,0.0,***,11.231155778894472
150,11.306532663316581,79.459,4.998,0.112,75.118,84.549,0.0,***,11.306532663316581
151,11.381909547738692,79.573,5.009,0.112,75.236,84.648,0.0,***,11.381909547738692
152,11.457286432160803,79.686,5.02,0.112,75.314,84.746,0.0,***,11.457286432160803
153,11.532663316582914,79.799,5.031,0.113,75.462,84.894,0.0,***,11.532663316582914
154,11.608040201005025,79.911,5.042,0.113,75.606,85.056,0.0,***,11.608040201005025
155,11.683417085427134,80.023,5.053,0.113,75.717,85.17,0.0,***,11.683417085427134
156,11.758793969849245,80.134,5.064,0.113,75.847,85.298,0.0,***,11.758793969849245
157,11.834170854271356,80.245,5.075,0.113,75.986,85.427,0.0,***,11.834170854271356
158,11.909547738693465,80.355,5.085,0.114,76.125,85.564,0.0,***,11.909547738693465
159,11.984924623115576,80.464,5.096,0.114,76.222,85.66,0.0,***,11.984924623115576
160,12.060301507537687,80.573,5.106,0.114,76.349,85.805,0.0,***,12.060301507537687
161,12.135678391959798,80.682,5.116,0.114,76.488,85.955,0.0,***,12.135678391959798
162,12.21105527638191,80.789,5.126,0.115,76.582,86.059,0.0,***,12.21105527638191
163,12.286432160804019,80.897,5.136,0.115,76.67,86.156,0.0,***,12.286432160804019
164,12.36180904522613,81.003,5.146,0.115,76.812,86.313,0.0,***,12.36180904522613
165,12.43718592964824,81.11,5.156,0.115,76.921,86.432,0.0,***,12.43718592964824
166,12.51256281407035,81.215,5.165,0.116,77.01,86.536,0.0,***,12.51256281407035
167,12.58793969849246,81.32,5.175,0.116,77.131,86.664,0.0,***,12.58793969849246
168,12.663316582914572,81.425,5.184,0.116,77.233,86.774,0.0,***,12.663316582914572
169,12.738693467336683,81.529,5.193,0.116,77.359,86.91,0.0,***,12.738693467336683
170,12.814070351758794,81.632,5.202,0.116,77.452,87.006,0.0,***,12.814070351758794
171,12.889447236180903,81.735,5.211,0.117,77.53,87.11,0.0,***,12.889447236180903
172,12.964824120603014,81.838,5.22,0.117,77.517,87.124,0.0,***,12.964824120603014
173,13.040201005025125,81.939,5.229,0.117,77.716,87.342,0.0,***,13.040201005025125
174,13.115577889447234,82.041,5.237,0.117,77.725,87.353,0.0,***,13.115577889447234
175,13.190954773869345,82.142,5.246,0.117,77.902,87.546,0.0,***,13.190954773869345
176,13.266331658291456,82.242,5.254,0.118,77.959,87.631,0.0,***,13.266331658291456
177,13.341708542713567,82.342,5.262,0.118,78.025,87.725,0.0,***,13.341708542713567
178,13.417085427135678,82.441,5.27,0.118,78.107,87.824,0.0,***,13.417085427135678
179,13.492462311557787,82.539,5.278,0.118,78.211,87.941,0.0,***,13.492462311557787
180,13.567839195979898,82.638,5.286,0.118,78.357,88.093,0.0,***,13.567839195979898
181,13.64321608040201,82.735,5.294,0.118,78.458,88.196,0.0,***,13.64321608040201
182,13.718592964824118,82.832,5.301,0.119,78.567,88.302,0.0,***,13.718592964824118
183,13.79396984924623,82.929,5.309,0.119,78.656,88.408,0.0,***,13.79396984924623
184,13.86934673366834,83.025,5.316,0.119,78.76,88.514,0.0,***,13.86934673366834
185,13.944723618090451,83.12,5.323,0.119,78.874,88.65,0.0,***,13.944723618090451
186,14.020100502512562,83.215,5.33,0.119,78.948,88.748,0.0,***,14.020100502512562
187,14.095477386934672,83.31,5.337,0.119,79.966,89.76,0.0,***,14.095477386934672
188,14.170854271356783,83.404,5.344,0.12,80.106,89.906,0.0,***,14.170854271356783
189,14.246231155778894,83.497,5.35,0.12,80.279,90.069,0.0,***,14.246231155778894
190,14.321608040201003,83.59,5.357,0.12,80.325,90.104,0.0,***,14.321608040201003
191,14.396984924623114,83.683,5.363,0.12,80.413,90.183,0.0,***,14.396984924623114
192,14.472361809045225,83.775,5.37,0.12,80.505,90.267,0.0,***,14.472361809045225
193,14.547738693467336,83.866,5.376,0.12,80.564,90.337,0.0,***,14.547738693467336
194,14.623115577889447,83.957,5.382,0.12,80.642,90.415,0.0,***,14.623115577889447
195,14.698492462311556,84.048,5.387,0.12,80.774,90.523,0.0,***,14.698492462311556
196,14.773869346733667,84.138,5.393,0.121,80.882,90.621,0.0,***,14.773869346733667
197,14.849246231155778,84.227,5.399,0.121,80.966,90.717,0.0,***,14.849246231155778
198,14.924623115577887,84.316,5.404,0.121,81.051,90.813,0.0,***,14.924623115577887
199,15.0,84.405,5.41,0.121,81.127,90.878,0.0,***,15.0
