,regimen,condition,mean,SE,error,lower,upper,p_value
0,AP,4th,0.885,0.027,0.0,0.86,0.913,0.0
1,AP,4th_gen,0.885,0.027,0.0,0.859,0.912,0.0
2,LA,4th,0.721,0.042,0.001,0.687,0.768,0.0
3,LA,4th_gen,0.7,0.043,0.001,0.66,0.745,0.0
4,P,4th,0.721,0.042,0.001,0.684,0.765,0.0
5,P,4th_gen,0.719,0.042,0.001,0.679,0.762,0.0
6,SA,4th,0.723,0.043,0.001,0.686,0.769,0.0
7,SA,4th_gen,0.731,0.042,0.001,0.693,0.776,0.0
